"product","binary file","download page","download link","download name","test flags","publish date","bin file size [B]","comment"
"C1","C1_FW_V01.04.0030.bin",,"http://download.dji-innovations.com/downloads/RC/C1_FW_V01.04.0030.bin","C1_FW_V01.04.0030.bin",3,"2015-11-24",29855300,
"C1","C1_FW_V01.05.0070.bin",,"http://dl.djicdn.com/downloads/inspire_1/C1_FW_V01.05.0070.bin","C1_FW_V01.05.0070.bin",3,"2015-11-26",29978860,
"C1","C1_FW_V01.05.0072",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_V01.05.0072","C1_FW_V01.05.0072",3,"2016-06-02",18933196,
"C1","C1_FW_V01.05.0080.bin",,"https://dl.djicdn.com/downloads/RC/C1_FW_V01.05.0080.bin","C1_FW_V01.05.0080.bin",3,"2016-07-08",29997840,
"C1","C1_FW_V01.06.0000.bin",,"https://dl.djicdn.com/downloads/lightbridge2/C1_FW_V01.06.0000.bin","C1_FW_V01.06.0000.bin",3,"2016-07-25",30046440,
"C1","C1_FW_V01.06.0020.bin","http://resource.dj2006.net/document/2016050611715.txt",,"C1_FW_V01.06.0020.bin",0,"2016-04-29",,"mentioned in update file, but no longer available; no known source"
"C1","C1_FW_v00.00.00.01.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/C1_FW_v00.00.00.01.bin","C1_FW_v00.00.00.01.bin",3,"2016-07-27",18922252,
"C1","C1_FW_v00.00.0001.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_v00.00.0001.bin","C1_FW_v00.00.0001.bin",3,"2016-09-02",18979212,
"C1","C1_FW_v01.01.0030.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0030.bin","C1_FW_v01.01.0030.bin",3,"2016-09-14",18983916,
"C1","C1_FW_v01.01.0035.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0035.bin","C1_FW_v01.01.0035.bin",3,"2016-09-14",18977796,
"C1","C1_FW_v01.01.0040.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0040.bin","C1_FW_v01.01.0040.bin",3,"2016-09-20",18981116,
"C1","C1_FW_v01.01.0050.bin",,"https://dl.djicdn.com/downloads/lightbridge2/C1_FW_v01.01.0050.bin","C1_FW_v01.01.0050.bin",3,"2017-07-08",18922252,
"C1","C1_FW_v01.01.0051.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0051.bin","C1_FW_v01.01.0051.bin",3,"2016-11-25",18989012,
"C1","C1_FW_v01.01.0053.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0053.bin","C1_FW_v01.01.0053.bin",3,"2016-12-06",19002336,
"C1","C1_FW_v01.01.0054.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0054.bin","C1_FW_v01.01.0054.bin",3,"2016-12-08",19002536,
"C1","C1_FW_v01.01.0055.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0055.bin","C1_FW_v01.01.0055.bin",3,"2016-12-29",19014072,
"C1","C1_FW_v01.01.0060.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0060.bin","C1_FW_v01.01.0060.bin",3,"2016-03-02",30044608,
